identity_number;first_name;last_name;birthday;;
1;Servác;Lisický;1965-01-28 00:00:00.000000;;
2;Vít;Zubko;1995-03-15 00:00:00.000000;;
3;Jerguš;Droppa;994-10-01 00:00:00.000000;;
4;Tatiana;Žigová;1980-05-15 00:00:00.000000;;
5;Radúz;Bartovič;1983-06-15 00:00:00.000000;;
6;Lýdia;Cesnaková;978-09-08 00:00:00.000000;;
7;Dominik;Záborský;968-03-04 00:00:00.000000;;
8;Soňa;Podhradská;976-07-06 00:00:00.000000;;
9;Olympia;Kazíková;963-10-01 00:00:00.000000;;
10;Izidor;Anderla;1966-06-12 00:00:00.000000;;
11;Otília;Tomanová;1960-02-11 00:00:00.000000;;
12;Bernard;Liška;1990-01-16 00:00:00.000000;;
13;Alojz;Beihofner;995-08-06 00:00:00.000000;;
14;Valér;Puškár;987-11-02 00:00:00.000000;;
15;Ela;Čierna;1979-04-17 00:00:00.000000;;
16;Rozália;Kyseľová;1978-01-31 00:00:00.000000;;
17;Blahoslav;Borík;992-06-03 00:00:00.000000;;
18;Drahomíra;Filipová;1973-07-27 00:00:00.000000;;
19;Božidara;Kraľovičová;1959-11-13 00:00:00.000000;;
20;Vincent;Hrdlička;1978-10-30 00:00:00.000000;;
21;Dezider;Baša;999-05-07 00:00:00.000000;;
22;Berta;Cesnaková;1988-04-27 00:00:00.000000;;
23;Petronela;Trubenová;995-08-08 00:00:00.000000;;
24;René;Jadľovský;1983-12-17 00:00:00.000000;;
25;Otília;Blažejová;1967-09-29 00:00:00.000000;;
26;Viola;Blahová;1986-06-17 00:00:00.000000;;
27;Pavol;Rosina;1992-08-27 00:00:00.000000;;
28;Krištof;Kubec;1967-04-19 00:00:00.000000;;
29;Radovan;Liška;995-08-03 00:00:00.000000;;
30;Lívia;Markovičová;1999-12-22 00:00:00.000000;;
31;Pavol;Maďaič;1970-11-18 00:00:00.000000;;
32;Aurélia;Hrašková;1974-09-16 00:00:00.000000;;
33;Eleonóra;Uramová;968-07-03 00:00:00.000000;;
34;Drahoslav;Toman;1960-10-13 00:00:00.000000;;
35;Vavrinec;Vlach;979-06-03 00:00:00.000000;;
36;Radoslav;Feldek;1990-12-28 00:00:00.000000;;
37;Bohumila;Hlaváčová;1995-11-28 00:00:00.000000;;
38;Jarmila;Arpášová;979-01-04 00:00:00.000000;;
39;Lenka;Lojová;1960-11-23 00:00:00.000000;;
40;Arnold;Kazík;1977-06-11 00:00:00.000000;;
41;Jakub;Debnár;971-06-01 00:00:00.000000;;
42;Alojz;Bakoš;1990-02-26 00:00:00.000000;;
43;Margaréta;Vlachová;1982-05-20 00:00:00.000000;;
44;Soňa;Konrádová;1984-05-27 00:00:00.000000;;
45;Maximilián;Lupták;1983-09-27 00:00:00.000000;;
46;Arpád;Krajčovič;1968-04-30 00:00:00.000000;;
47;Ján;Tupý;1981-02-12 00:00:00.000000;;
48;Juliana;Husová;1959-07-19 00:00:00.000000;;
49;Norbert;Zubko;1999-10-14 00:00:00.000000;;
50;Diana;Kocúrová;1996-01-31 00:00:00.000000;;
51;Bohuslava;Stravová;1967-03-19 00:00:00.000000;;
52;Ferdinand;Abrahám;1964-12-12 00:00:00.000000;;
53;Lýdia;Slotová;1973-07-15 00:00:00.000000;;
54;Ľubica;Čierna;961-04-01 00:00:00.000000;;
55;Prokop;Antal;1977-05-31 00:00:00.000000;;
56;Marta;Balašová;1963-03-21 00:00:00.000000;;
57;Zina;Hrušková;1993-03-10 00:00:00.000000;;
58;Etela;Konrádová;1994-11-30 00:00:00.000000;;
59;Ema;Balašová;1975-06-13 00:00:00.000000;;
60;Gertrúda;Jurkovičová;1970-08-15 00:00:00.000000;;
61;Radovan;Rusnák;987-01-03 00:00:00.000000;;
62;Belo;Šťastný;1973-07-25 00:00:00.000000;;
63;Maximilián;Strava;981-02-03 00:00:00.000000;;
64;Irma;Feldeková;1976-02-27 00:00:00.000000;;
65;Ľubor;Rak;1985-11-20 00:00:00.000000;;
66;Marína;Holúbeková;964-09-07 00:00:00.000000;;
67;Monika;Chudíková;1996-06-23 00:00:00.000000;;
68;Gabriela;Machová;1972-05-11 00:00:00.000000;;
69;Valentína;Melichárová;1991-04-23 00:00:00.000000;;
70;Milota;Plekanecová;1983-01-11 00:00:00.000000;;
71;Žigmund;Sedliak;974-03-05 00:00:00.000000;;
72;Dalibor;Šoltés;1996-11-10 00:00:00.000000;;
73;Zlatica;Rybníčeková;971-08-05 00:00:00.000000;;
74;Eleonóra;Kočišová;1992-11-26 00:00:00.000000;;
75;Adam;Šťastný;1966-05-25 00:00:00.000000;;
76;Boleslav;Kyseľ;970-09-03 00:00:00.000000;;
77;Elena;Čarnogurská;1993-01-29 00:00:00.000000;;
78;Arnold;Baranka;1998-11-15 00:00:00.000000;;
79;Darina;Hlaváčová;1988-11-21 00:00:00.000000;;
80;Radúz;Durdík;973-02-02 00:00:00.000000;;
81;Gregor;Černík;1976-08-20 00:00:00.000000;;
82;Albína;Hroboňová;967-10-04 00:00:00.000000;;
83;Izidor;Kocúr;1961-02-16 00:00:00.000000;;
84;Blažena;Bukovská;1976-03-29 00:00:00.000000;;
85;Bonifác;Konôpka;1978-02-18 00:00:00.000000;;
86;Karolína;Bezáková;999-11-01 00:00:00.000000;;
87;Uršuľa;Šťastná;1961-09-21 00:00:00.000000;;
88;Marián;Sklenica;1975-11-20 00:00:00.000000;;
89;Bohuslava;Lukáčová;1968-03-20 00:00:00.000000;;
90;Etela;Slašťanová;1967-10-19 00:00:00.000000;;
91;Branislav;Grznár;959-08-08 00:00:00.000000;;
92;Lea;Tomeková;1960-10-31 00:00:00.000000;;
93;Vavrinec;Farkašovský;1975-10-30 00:00:00.000000;;
94;Cyprián;Adam;1982-08-27 00:00:00.000000;;
95;Jaromír;Danko;1978-02-21 00:00:00.000000;;
96;Ľudomila;Holúbeková;1966-10-15 00:00:00.000000;;
97;Liana;Richtárová;1985-04-10 00:00:00.000000;;
98;Adriána;Feldeková;960-09-09 00:00:00.000000;;
99;Prokop;Ondrášek;981-05-09 00:00:00.000000;;
